"REFERENCE_FILE","DOFLOW_FILE","MODE","ALLOWLIST","REASON","REFERENCE_SHA256","DOFLOW_SHA256","JSX_PARITY","CLASS_PARITY"
"public/assets/auth/flow-login-journey.webp","apps/frontend/public/assets/auth/flow-login-journey.webp","EXCLUDED","A","D3CC801 AUTHORITY: reference auth artwork excluded","d2d655c852796b01bb6e6230f416800515c052e6932f6a5137de6e731d79f1bd","","N/A","N/A"
"public/assets/flow/emoji/flow-angry.webp","apps/frontend/public/assets/flow/emoji/flow-angry.webp","VERBATIM","","SHA-256 identical","5c77fd790393203b31f8526f429e6d2ad536f021a31254ff4aac92648909c1ab","5c77fd790393203b31f8526f429e6d2ad536f021a31254ff4aac92648909c1ab","N/A","N/A"
"public/assets/flow/emoji/flow-approved.webp","apps/frontend/public/assets/flow/emoji/flow-approved.webp","VERBATIM","","SHA-256 identical","393c2b0d1b0f7cccd9012891a07b0d0ca2e53573700416c7f0632caa9c00c993","393c2b0d1b0f7cccd9012891a07b0d0ca2e53573700416c7f0632caa9c00c993","N/A","N/A"
"public/assets/flow/emoji/flow-bored.webp","apps/frontend/public/assets/flow/emoji/flow-bored.webp","VERBATIM","","SHA-256 identical","87d13d2f2e8c85d515840bdc3c7d2ff2ef9049035a4ef45d5e6f37cd2d64f594","87d13d2f2e8c85d515840bdc3c7d2ff2ef9049035a4ef45d5e6f37cd2d64f594","N/A","N/A"
"public/assets/flow/emoji/flow-celebrate.webp","apps/frontend/public/assets/flow/emoji/flow-celebrate.webp","VERBATIM","","SHA-256 identical","c621fbedfe6590567783207af935b4d01ed3e0fe035ebce47305cf79af2c7704","c621fbedfe6590567783207af935b4d01ed3e0fe035ebce47305cf79af2c7704","N/A","N/A"
"public/assets/flow/emoji/flow-cry.webp","apps/frontend/public/assets/flow/emoji/flow-cry.webp","VERBATIM","","SHA-256 identical","a07e909be5d6d8d389017ce408a793598af09c745f840426739d6b3fa8fe55c4","a07e909be5d6d8d389017ce408a793598af09c745f840426739d6b3fa8fe55c4","N/A","N/A"
"public/assets/flow/emoji/flow-daje.webp","apps/frontend/public/assets/flow/emoji/flow-daje.webp","VERBATIM","","SHA-256 identical","8c8a1049d55480003a62298daee91b072a213e69ceae3a600a8b93a85ab1c645","8c8a1049d55480003a62298daee91b072a213e69ceae3a600a8b93a85ab1c645","N/A","N/A"
"public/assets/flow/emoji/flow-embarrassed.webp","apps/frontend/public/assets/flow/emoji/flow-embarrassed.webp","VERBATIM","","SHA-256 identical","50732230739fe06453342195c3f8aaddc799b38e9e056678e8900ca2a26862e3","50732230739fe06453342195c3f8aaddc799b38e9e056678e8900ca2a26862e3","N/A","N/A"
"public/assets/flow/emoji/flow-happy.webp","apps/frontend/public/assets/flow/emoji/flow-happy.webp","VERBATIM","","SHA-256 identical","d53229118dea7b2636526fbafd365af9bd1b92fbcd522cbf72a86075bfe86868","d53229118dea7b2636526fbafd365af9bd1b92fbcd522cbf72a86075bfe86868","N/A","N/A"
"public/assets/flow/emoji/flow-kiss.webp","apps/frontend/public/assets/flow/emoji/flow-kiss.webp","VERBATIM","","SHA-256 identical","6952df77681616a696800a3a71707b2be11284825af056273ce71986b9dd6cdd","6952df77681616a696800a3a71707b2be11284825af056273ce71986b9dd6cdd","N/A","N/A"
"public/assets/flow/emoji/flow-laugh.webp","apps/frontend/public/assets/flow/emoji/flow-laugh.webp","VERBATIM","","SHA-256 identical","bb4110805d4bb2fcea98b72e29d373e28611f4631569ddb65d8fd2e1ebf11b35","bb4110805d4bb2fcea98b72e29d373e28611f4631569ddb65d8fd2e1ebf11b35","N/A","N/A"
"public/assets/flow/emoji/flow-love.webp","apps/frontend/public/assets/flow/emoji/flow-love.webp","VERBATIM","","SHA-256 identical","9013faeb55fc3f27501e967deb7aaa1087ed4778e605766a745d928e05ae6a92","9013faeb55fc3f27501e967deb7aaa1087ed4778e605766a745d928e05ae6a92","N/A","N/A"
