"status","path","category","reason","commit_decision","risk","bytes","kind","rc_relation"
"M",".dockerignore","06-monorepo-configuration","release candidate replacement","include-release","medium","422","text","direct"
"!!",".env","14-acceptance-credentials-config","excluded by release policy","excluded-sensitive","critical","0","policy-path","excluded"
"M",".env.example","06-monorepo-configuration","release candidate replacement","include-release","high","1773","text","direct"
"!!",".visual-auth/","14-acceptance-credentials-config","excluded by release policy","excluded-sensitive","critical","0","policy-path","excluded"
"!!",".visual-runtime/","11-runtime-temporary","excluded by release policy","excluded-runtime","low","0","policy-path","excluded"
"M","AGENTS.md","06-monorepo-configuration","release candidate replacement","include-release","medium","12678","text","direct"
"!!","apps/backend/.env","14-acceptance-credentials-config","excluded by release policy","excluded-sensitive","critical","0","policy-path","excluded"
"M","apps/backend/data-source.ts","02-backend-application","release candidate replacement","include-release","medium","732","text","direct"
"!!","apps/backend/dist/","12-build-output","excluded by release policy","excluded-runtime","low","0","policy-path","excluded"
"M","apps/backend/Dockerfile","02-backend-application","release candidate replacement","include-release","high","1381","text","direct"
"M","apps/backend/package.json","02-backend-application","release candidate replacement","include-release","high","4314","text","direct"
"??","apps/backend/src/app-module-routing.spec.ts","02-backend-application","release candidate replacement","include-release","medium","3301","text","direct"
"M","apps/backend/src/app.module.ts","02-backend-application","release candidate replacement","include-release","high","7251","text","direct"
"M","apps/backend/src/audit.service.ts","02-backend-application","release candidate replacement","include-release","medium","2915","text","direct"
"M","apps/backend/src/auth-password.controller.ts","02-backend-application","release candidate replacement","include-release","high","12734","text","direct"
"M","apps/backend/src/auth.controller.spec.ts","02-backend-application","release candidate replacement","include-release","high","1215","text","direct"
"M","apps/backend/src/auth.controller.ts","02-backend-application","release candidate replacement","include-release","high","12230","text","direct"
"M","apps/backend/src/auth.middleware.ts","02-backend-application","release candidate replacement","include-release","high","4265","text","direct"
"M","apps/backend/src/auth.service.ts","02-backend-application","release candidate replacement","include-release","high","13851","text","direct"
"M","apps/backend/src/auth/auth-flow-security.spec.ts","02-backend-application","release candidate replacement","include-release","high","23291","text","direct"
"M","apps/backend/src/auth/auth-handoff.service.spec.ts","02-backend-application","release candidate replacement","include-release","high","4929","text","direct"
"M","apps/backend/src/auth/auth-handoff.service.ts","02-backend-application","release candidate replacement","include-release","high","8645","text","direct"
"??","apps/backend/src/auth/auth-schema.ts","02-backend-application","release candidate replacement","include-release","high","1388","text","direct"
"M","apps/backend/src/auth/auth.module.ts","02-backend-application","release candidate replacement","include-release","high","2914","text","direct"
"M","apps/backend/src/auth/dto/signup-tenant.dto.ts","02-backend-application","release candidate replacement","include-release","high","1353","text","direct"
"M","apps/backend/src/auth/google.controller.ts","02-backend-application","release candidate replacement","include-release","high","7094","text","direct"
"M","apps/backend/src/auth/jwt-auth.guard.ts","02-backend-application","release candidate replacement","include-release","high","429","text","direct"
"M","apps/backend/src/auth/jwt.strategy.ts","02-backend-application","release candidate replacement","include-release","high","1815","text","direct"
"M","apps/backend/src/auth/signup.controller.ts","02-backend-application","release candidate replacement","include-release","high","2515","text","direct"
"M","apps/backend/src/auth/signup.service.ts","02-backend-application","release candidate replacement","include-release","high","8734","text","direct"
"??","apps/backend/src/auth/web-auth-contract.spec.ts","02-backend-application","release candidate replacement","include-release","high","4641","text","direct"
"??","apps/backend/src/auth/web-session.service.spec.ts","02-backend-application","release candidate replacement","include-release","high","8734","text","direct"
"??","apps/backend/src/auth/web-session.service.ts","02-backend-application","release candidate replacement","include-release","high","8711","text","direct"
"??","apps/backend/src/billing/billing.controller.spec.ts","02-backend-application","release candidate replacement","include-release","medium","2996","text","direct"
"M","apps/backend/src/billing/billing.service.ts","02-backend-application","release candidate replacement","include-release","medium","5785","text","direct"
"??","apps/backend/src/common/schema-provisioning-once.spec.ts","02-backend-application","release candidate replacement","include-release","medium","2887","text","direct"
